ts,open,high,low,close,volume
1746716100000,157.61,157.68,156.71,156.99,216649.29
1746716400000,156.98,157.56,156.86,156.94,58153.29
1746716700000,156.95,157.93,156.88,157.92,60091.7
1746717000000,157.91,158.33,157.68,158.21,64345.87
1746717300000,158.21,158.3,157.92,158.18,40198.66
1746717600000,158.18,159.63,157.77,159.15,217179.57
1746717900000,159.16,160.62,159.0,159.74,376821.94
1746718200000,159.74,160.0,158.91,159.47,221350.71
1746718500000,159.46,160.28,159.22,160.27,89855.32
1746718800000,160.27,163.05,160.14,161.5,413672.37
1746719100000,161.5,162.15,160.91,161.62,140102.7
1746719400000,161.61,161.98,159.64,159.92,223007.74
1746719700000,159.91,160.26,159.41,160.14,133713.45
1746720000000,160.15,160.67,159.4,159.51,154202.13
1746720300000,159.51,160.4,159.5,160.19,81314.31
1746720600000,160.19,160.52,160.01,160.44,48986.59
1746720900000,160.44,161.04,160.39,160.55,44838.35
1746721200000,160.55,160.76,159.93,160.04,43858.23
1746721500000,160.04,160.09,159.44,159.5,40570.38
1746721800000,159.5,160.01,159.33,159.98,56099.55
1746722100000,159.97,160.43,159.9,160.29,25536.56
1746722400000,160.28,160.28,159.89,160.22,20902.25
1746722700000,160.23,160.23,159.76,160.17,18540.21
1746723000000,160.17,160.28,159.95,159.99,19366.46
1746723300000,160.0,160.11,159.7,159.92,24017.29
1746723600000,159.92,160.0,159.41,159.47,65907.51
1746723900000,159.47,159.91,159.26,159.42,42387.27
1746724200000,159.42,159.67,159.37,159.52,27470.0
1746724500000,159.53,160.05,159.53,159.94,19196.0
1746724800000,159.95,160.04,159.73,159.92,23364.09
1746725100000,159.92,160.2,159.7,159.83,32029.07
1746725400000,159.82,160.07,159.26,159.29,37971.24
1746725700000,159.3,159.36,158.89,159.14,88886.09
1746726000000,159.14,159.21,158.76,158.87,77096.22
1746726300000,158.88,158.96,158.51,158.69,63121.29
1746726600000,158.7,159.12,158.68,159.06,79039.52
1746726900000,159.05,159.23,158.65,158.68,50508.16
1746727200000,158.69,159.17,158.69,159.01,47242.23
